username, created_at, lng, lat, text
atticusown, Fri Jan 22 23:53:40 +0000 2021, -80.122619, 26.721896, @AOC @pattonoswalt https://t.co/S2H78wG7VC 
AimeeSchan, Fri Jan 22 23:53:40 +0000 2021, -75.483936, 40.591825, @AP_Oddities I would go for the adventure. lol 
evakecume, Fri Jan 22 23:53:41 +0000 2021, -122.081442, 37.396853, First principle thinking 
Willie_Beamerr, Fri Jan 22 23:53:41 +0000 2021, -91.401008, 30.937336, @samrojas23 Let’s drink 
tuolumnecofire, Fri Jan 22 23:53:41 +0000 2021, -120.260000, 37.995000, Just posted a photo @ Soulsbyville, California https://t.co/Onj7Qu83JW 
CocoaMuscle, Fri Jan 22 23:53:41 +0000 2021, -118.411907, 34.020789, @tmarkq You're just mad because my luck is through the roof! I have no idea how I never landed on all those bankruptcy spots you guys had 🤣😜 
playgurldee, Fri Jan 22 23:53:41 +0000 2021, -84.433106, 33.767195, damn ion got shit to wear 
paulinamfdz, Fri Jan 22 23:53:41 +0000 2021, -106.162898, 28.941866, @bettroffeduardo Omg perdón estaba en la lap y no se veía así 
ManuelFerndez26, Fri Jan 22 23:53:41 +0000 2021, -110.854585, 24.107997, #NowPlaying "FEEL THE BEAT" de Black Eyed Peas, Maluma en @TIDAL https://t.co/tR51c6FJm1 
LindaWilbu, Fri Jan 22 23:53:41 +0000 2021, -119.306608, 37.269176, @Timcast Seems pretty crappy. Fortunately, they are back inside and they will find out, who told them to move to th… https://t.co/iBmYPA8THY 
itsbengrape, Fri Jan 22 23:53:41 +0000 2021, -72.667058, 41.926862, Otter and seals are cute as fuck 
karolime__, Fri Jan 22 23:53:41 +0000 2021, -118.411907, 34.020789, @SeanMatsukawa Like that’s just it , we stuck with this ?! Lmao 
fe4_li, Fri Jan 22 23:53:42 +0000 2021, -118.411907, 34.020789, 👋🏼 Animals $Cent$, Can Be Smell’D For Miles. by @maroon5 on @PandoraMusic https://t.co/fYNvzov48X https://t.co/36zBxyPh4W 
J_W_O_17, Fri Jan 22 23:53:42 +0000 2021, -100.076888, 31.168893, @JAParker1967 He’ll be doing concerts on my island lol 
dumb_gemini, Fri Jan 22 23:53:42 +0000 2021, -73.948775, 40.655138, lil scoliosis 
p_strom25, Fri Jan 22 23:53:42 +0000 2021, -87.732013, 41.833585, @EBobroske those smiles &amp; this message ❣️ 
Stephbuen_, Fri Jan 22 23:53:42 +0000 2021, -122.228685, 37.791994, Lmaoo 
oldmanliver, Fri Jan 22 23:53:42 +0000 2021, -81.571184, 28.605604, @BonJS0370 @Saline_tRick @HondoResists @Tonia8675309 @TJNugent520 @ThomONeil1 @BlueTsuni @Scootrbum @keriRN… https://t.co/i1AgLF8LgG 
IllDoPeYOu, Fri Jan 22 23:53:42 +0000 2021, -98.540651, 29.417501, I miss the strip ...el ojo need me 
rosybeth5, Fri Jan 22 23:53:42 +0000 2021, -77.438513, 38.841163, @Anlikerinfante 👍👌👌 
elVayuco, Fri Jan 22 23:53:42 +0000 2021, -100.076888, 31.168893, @KaitiBlake @KaitiBlake this is some well deserved weekend weather.May have a safe and blessed weekend. https://t.co/AczfkLUsff 
HairyRihanna, Fri Jan 22 23:53:42 +0000 2021, -83.963842, 35.982470, 6/10. 
MarielSoloTuTam, Fri Jan 22 23:53:42 +0000 2021, -97.547392, 25.558993, @LOS40PueblaFM @_CarlosRivera Todosssss💙 #CarlosRivera #ClubSolotu #SedeTamps 💙 
reformedphilipm, Fri Jan 22 23:53:42 +0000 2021, -82.489600, 35.015500, Drinking a Swiss Bliss  by @eqbrewery @ The Moses Glenn — https://t.co/skl9fhfPIy 
TheN1James, Fri Jan 22 23:53:43 +0000 2021, -93.666378, 32.524673, Just finished #WandaVision ep3..No spoilers... but I want to like this show... I'm not sure I do? 
